Amazon Title,Amazon Price,Amazon URL,Amazon Image,Flipkart Title,Flipkart Price,Flipkart URL,Flipkart Image,Myntra Title,Myntra Price,Myntra URL,Myntra Image
The Derma Co 1% Salicylic Acid Gel Face Wash with Salicylic Acid & Witch Hazel for Active Acne - 100 ml,₹269.,https://www.amazon.in/Derma-Co-Salicylic-Witch-Active/dp/B095J52W7P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.UhUQNcYMiyNbr70TbXPOAdtK6Rjqe8qmm_BiP5aj0ZN4ujhbWpqLiMxMTRIHP654gHmQ63bu_T46lGXy7hXhzz-NyJyKp4UOxhtrdiN7oOrpw0hycQdx6zWBNIcXNyqqKus0tzsGJ8J_HAmNIe8A3s0h87zWEHwif5yE9cDuaj_IQJtqGWqRwD1nl3h0wMnpfUhgLqdBxJvWGOqwFzTecQriZZheg_s86FpHihJtdloMxq6H_psaTzRfjmzQnz5FXQA-GNzUumFulkwbE2jVX-wgvAqPvvgeSWJd-SPHqEs.xOQTsQ625TzROuOebkyVzizZ7YI5uZCoZ7Uv7uYbg_4&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396011&sr=8-7,https://m.media-amazon.com/images/I/31Y4E3h+GJS._SY300_SX300_.jpg,The Derma Co Sali-Cinamide Anti-Acne with 2% Salicylic Acid & 2% Niacinamide Face Wash  (80 ml),₹199,https://www.flipkart.com/derma-co-sali-cinamide-anti-acne-2-salicylic-acid-niacinamide-face-wash/p/itm7b10785e0b8d3?pid=FCWGPF8QKHCMMKDY&lid=LSTFCWGPF8QKHCMMKDYFELTFL&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_F1M9MV_J6TpT1RRFJyLUORKaEZbwfsBX1ApzZ3cl1BTv8XUP0VaDpQyHAaZT1OK6gx3Zt5zevVHi-XKmGrQkcPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gk5ln77dog0000001744463034220&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/g/9/p/80-sali-cinamide-anti-acne-face-wash-with-2-salicylic-acid-2-original-imah3agetz9djcxz.jpeg?q=70&crop=false,The Derma co. 2% Salicylic Acid Face Wash,Rs. 239,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-2-salicylic-acid-gel-face-wash-for-active-acne---100-ml-for-oily-skin/31408989/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/25/UVt96a8s_9fa100bee5ba4fe1bddc45ae6b354952.jpg"
"Cetaphil Oily Skin Cleanser, Daily Face Wash For Oily, Acne Prone Skin, Gentle Foaming, 250Ml",₹977.,https://www.amazon.in/Cetaphil-Cleanser-Daily-Gentle-Foaming/dp/B0D78W8K62/ref=sr_1_20?dib=eyJ2IjoiMSJ9.UhUQNcYMiyNbr70TbXPOAdtK6Rjqe8qmm_BiP5aj0ZN4ujhbWpqLiMxMTRIHP654gHmQ63bu_T46lGXy7hXhzz-NyJyKp4UOxhtrdiN7oOrpw0hycQdx6zWBNIcXNyqqKus0tzsGJ8J_HAmNIe8A3s0h87zWEHwif5yE9cDuaj_IQJtqGWqRwD1nl3h0wMnpfUhgLqdBxJvWGOqwFzTecQriZZheg_s86FpHihJtdloMxq6H_psaTzRfjmzQnz5FXQA-GNzUumFulkwbE2jVX-wgvAqPvvgeSWJd-SPHqEs.xOQTsQ625TzROuOebkyVzizZ7YI5uZCoZ7Uv7uYbg_4&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396011&sr=8-20,https://m.media-amazon.com/images/I/31YQVEM9qFL._SX300_SY300_QL70_ML2_.jpg,The Derma Co 2% Niacinamide Cleanser Combo | Gentle Skin Cleanser and Oily Skin Cleanser Face Wash  (250 ml),₹448,https://www.flipkart.com/derma-co-2-niacinamide-cleanser-combo-gentle-skin-oily-face-wash/p/itm82fd7655de267?pid=CNRGTZ33SQJDGCHQ&lid=LSTCNRGTZ33SQJDGCHQYYIQDH&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_54&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.CNRGTZ33SQJDGCHQ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/g/0/r/250-2-niacinamide-cleanser-combo-gentle-skin-cleanser-and-oily-original-imah4yguv8sfby6y.jpeg?q=70&crop=false,Cetaphil Gentle Skin Cleanser - 125 ml,Rs. 377,https://www.myntra.com/face-wash-and-cleanser/cetaphil/cetaphil-gentle-skin-hydrating-face-wash-cleanser-with-niacinamide--vitamin-b5---125-ml/16712624/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16712624/2023/8/8/3584bf5f-d3ee-4013-b961-824cbb335af61691475792332-Cetaphil-Gentle-Skin-Cleanser---125-ml-9391691475791959-1.jpg"
"DERMATOUCH Bright & Even Tone Face Wash with Niacinamide, Vitamin E and Kojic Acid | Daily Gentle Face Wash For Tan, Pigmentation, Uneven Tone - 30G",₹120.,https://www.amazon.in/DERMATOUCH-Niacinamide-Vitamin-Cleanser-Pigmentation/dp/B0C9DXDC4F/ref=sr_1_25?dib=eyJ2IjoiMSJ9.UhUQNcYMiyNbr70TbXPOAdtK6Rjqe8qmm_BiP5aj0ZN4ujhbWpqLiMxMTRIHP654gHmQ63bu_T46lGXy7hXhzz-NyJyKp4UOxhtrdiN7oOrpw0hycQdx6zWBNIcXNyqqKus0tzsGJ8J_HAmNIe8A3s0h87zWEHwif5yE9cDuaj_IQJtqGWqRwD1nl3h0wMnpfUhgLqdBxJvWGOqwFzTecQriZZheg_s86FpHihJtdloMxq6H_psaTzRfjmzQnz5FXQA-GNzUumFulkwbE2jVX-wgvAqPvvgeSWJd-SPHqEs.xOQTsQ625TzROuOebkyVzizZ7YI5uZCoZ7Uv7uYbg_4&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396011&sr=8-25,https://m.media-amazon.com/images/I/51xi56DUa6L._SX300_SY300_QL70_ML2_.jpg,"The Derma Co Skin Renew with Peptides & Niacinamide | Anti-Pollution, Gentle & Deep Cleansing Face Wash  (100 ml)",₹359,https://www.flipkart.com/derma-co-skin-renew-peptides-niacinamide-anti-pollution-gentle-deep-cleansing-face-wash/p/itm452492fe13a9c?pid=FCWGZV8T9YK8JBHZ&lid=LSTFCWGZV8T9YK8JBHZXVLXWN&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGZV8T9YK8JBHZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/m/z/m/100-skin-renew-with-peptides-niacinamide-anti-pollution-gentle-original-imah43dzwurrkm9t.jpeg?q=70&crop=false,The Derma co. Pore Minimizing Clay Daily Face Wash With 1% Niacinamide & 2% PHA,Rs. 279,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-pore-minimizing-clay-daily-face-wash-with-1-niacinamide--2-pha-100ml/17428390/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17428390/2024/12/18/2994ac49-882a-49fa-98c5-53f349c381da1734523169508-The-Derma-co-Pore-Minimizing-Clay-Daily-Face-Wash-with-1-Nia-1.jpg"
The Derma Co Creamy Cleanser for Sensitive Skin | 100 ml,₹221.,https://www.amazon.in/Derma-Co-Creamy-Cleanser-Sensitive/dp/B08TRFVNVD/ref=sr_1_28?dib=eyJ2IjoiMSJ9.UhUQNcYMiyNbr70TbXPOAdtK6Rjqe8qmm_BiP5aj0ZN4ujhbWpqLiMxMTRIHP654gHmQ63bu_T46lGXy7hXhzz-NyJyKp4UOxhtrdiN7oOrpw0hycQdx6zWBNIcXNyqqKus0tzsGJ8J_HAmNIe8A3s0h87zWEHwif5yE9cDuaj_IQJtqGWqRwD1nl3h0wMnpfUhgLqdBxJvWGOqwFzTecQriZZheg_s86FpHihJtdloMxq6H_psaTzRfjmzQnz5FXQA-GNzUumFulkwbE2jVX-wgvAqPvvgeSWJd-SPHqEs.xOQTsQ625TzROuOebkyVzizZ7YI5uZCoZ7Uv7uYbg_4&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396011&sr=8-28,https://m.media-amazon.com/images/I/31ERdJm5WkS._SX300_SY300_QL70_ML2_.jpg,The Derma Co Creamy Cleanser for Sensitive Skin Face Wash  (100 ml),₹199,https://www.flipkart.com/derma-co-creamy-cleanser-sensitive-skin-face-wash/p/itme8858a265e495?pid=CNRFZ4XRKANBWMHG&lid=LSTCNRFZ4XRKANBWMHGUJSK28&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.CNRFZ4XRKANBWMHG.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/cleanser/l/g/7/-original-imagpuw849k2kxqa.jpeg?q=70&crop=false,The Derma co. Creamy Cleanser,Rs. 199,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-creamy-cleanser/15537112/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15537112/2025/1/4/321fad17-962c-44ad-8dd9-212d3d3627501735965456510-The-Derma-co-Creamy-Cleanser-6041735965456340-1.jpg"
Cetaphil PRO Oil Control Foam Face Wash for Acne & Oily Prone Skin 236ml,₹934.,https://www.amazon.in/Cetaphil-Control-Foam-Face-Prone/dp/B09MWD6F4W/ref=sr_1_40?dib=eyJ2IjoiMSJ9.UhUQNcYMiyNbr70TbXPOAdtK6Rjqe8qmm_BiP5aj0ZN4ujhbWpqLiMxMTRIHP654gHmQ63bu_T46lGXy7hXhzz-NyJyKp4UOxhtrdiN7oOrpw0hycQdx6zWBNIcXNyqqKus0tzsGJ8J_HAmNIe8A3s0h87zWEHwif5yE9cDuaj_IQJtqGWqRwD1nl3h0wMnpfUhgLqdBxJvWGOqwFzTecQriZZheg_s86FpHihJtdloMxq6H_psaTzRfjmzQnz5FXQA-GNzUumFulkwbE2jVX-wgvAqPvvgeSWJd-SPHqEs.xOQTsQ625TzROuOebkyVzizZ7YI5uZCoZ7Uv7uYbg_4&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396011&sr=8-40,https://m.media-amazon.com/images/I/31mpc293RUL._SX300_SY300_QL70_ML2_.jpg,Cetaphil PRO Oil Control Foam Wash-236ml Face Wash  (236 ml),₹934,https://www.flipkart.com/cetaphil-pro-oil-control-foam-wash-236ml-face-wash/p/itm4bc0ce355836b?pid=FCWGBYZXYGDGGFFQ&lid=LSTFCWGBYZXYGDGGFFQIBPBFT&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGBYZXYGDGGFFQ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/b/z/k/-original-imah5mq6mxkxnfrr.jpeg?q=70&crop=false,The Derma co. 2% Salicylic Acid Face Wash,Rs. 239,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-2-salicylic-acid-gel-face-wash-for-active-acne---100-ml-for-oily-skin/31408989/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/25/UVt96a8s_9fa100bee5ba4fe1bddc45ae6b354952.jpg"
"The Derma Co Oil-Free Daily Face Wash With Hyaluronic Acid, Glycolic Acid & Multivitamins for Clear & Hydrated Skin - 100ml",₹244.,https://www.amazon.in/Derma-Co-Oil-Free-Hyaluronic-Multivitamins/dp/B0B39LYPGW/ref=sr_1_50?dib=eyJ2IjoiMSJ9.UhUQNcYMiyNbr70TbXPOAdtK6Rjqe8qmm_BiP5aj0ZN4ujhbWpqLiMxMTRIHP654gHmQ63bu_T46lGXy7hXhzz-NyJyKp4UOxhtrdiN7oOrpw0hycQdx6zWBNIcXNyqqKus0tzsGJ8J_HAmNIe8A3s0h87zWEHwif5yE9cDuaj_IQJtqGWqRwD1nl3h0wMnpfUhgLqdBxJvWGOqwFzTecQriZZheg_s86FpHihJtdloMxq6H_psaTzRfjmzQnz5FXQA-GNzUumFulkwbE2jVX-wgvAqPvvgeSWJd-SPHqEs.xOQTsQ625TzROuOebkyVzizZ7YI5uZCoZ7Uv7uYbg_4&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396011&sr=8-50,https://m.media-amazon.com/images/I/31fGHXQfe4L._SX300_SY300_QL70_ML2_.jpg,"The Derma Co Skin Renew with Peptides & Niacinamide | Anti-Pollution, Gentle & Deep Cleansing Face Wash  (100 ml)",₹359,https://www.flipkart.com/derma-co-skin-renew-peptides-niacinamide-anti-pollution-gentle-deep-cleansing-face-wash/p/itm452492fe13a9c?pid=FCWGZV8T9YK8JBHZ&lid=LSTFCWGZV8T9YK8JBHZXVLXWN&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGZV8T9YK8JBHZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/m/z/m/100-skin-renew-with-peptides-niacinamide-anti-pollution-gentle-original-imah43dzwurrkm9t.jpeg?q=70&crop=false,The Derma co. Pore Minimizing Clay Daily Face Wash With 1% Niacinamide & 2% PHA,Rs. 279,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-pore-minimizing-clay-daily-face-wash-with-1-niacinamide--2-pha-100ml/17428390/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17428390/2024/12/18/2994ac49-882a-49fa-98c5-53f349c381da1734523169508-The-Derma-co-Pore-Minimizing-Clay-Daily-Face-Wash-with-1-Nia-1.jpg"
"The Derma Co Oil-Free Daily Face Wash With Hyaluronic Acid, Glycolic Acid & Multivitamins for Clear & Hydrated Skin - 100ml",₹244.,https://www.amazon.in/Derma-Co-Oil-Free-Hyaluronic-Multivitamins/dp/B0B39LYPGW/ref=sr_1_54?dib=eyJ2IjoiMSJ9.o9_VfRe4gJVXuVkTdSvUAjXj4zbItz2c-QgVhfCt1A7tTsgPUC3AkodlguLDSHZ4oCmk-nMnhLycq1Jvhzp44bENMk59dXqHvdc__RSAEjxrE3JitWMff0hFoS-cZvEomqnOJpIkBkLljuU4RX2dvBsm5yGKYqwzevTBFnpyUGAK1h1POiOP27ku9SjdytBxMKII3-DIwg4gOQQON6IIp2AdyLDAxFJNBUkFaIIqJ9pxoF2FHcTodOSZvQ2m_vl0x8_2ghp4KA8aSIXzOWH_dokz2vZ22gYwk52tuxLRnVo.42qag9Vmiaf2A0POg-w3xbwlZcFQVQJDUaaa5jqulGg&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396275&sr=8-54&xpid=PqBEMo3xXL7fB,https://m.media-amazon.com/images/I/31fGHXQfe4L._SX300_SY300_QL70_ML2_.jpg,"The Derma Co Skin Renew with Peptides & Niacinamide | Anti-Pollution, Gentle & Deep Cleansing Face Wash  (100 ml)",₹359,https://www.flipkart.com/derma-co-skin-renew-peptides-niacinamide-anti-pollution-gentle-deep-cleansing-face-wash/p/itm452492fe13a9c?pid=FCWGZV8T9YK8JBHZ&lid=LSTFCWGZV8T9YK8JBHZXVLXWN&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGZV8T9YK8JBHZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/m/z/m/100-skin-renew-with-peptides-niacinamide-anti-pollution-gentle-original-imah43dzwurrkm9t.jpeg?q=70&crop=false,The Derma co. Pore Minimizing Clay Daily Face Wash With 1% Niacinamide & 2% PHA,Rs. 279,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-pore-minimizing-clay-daily-face-wash-with-1-niacinamide--2-pha-100ml/17428390/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17428390/2024/12/18/2994ac49-882a-49fa-98c5-53f349c381da1734523169508-The-Derma-co-Pore-Minimizing-Clay-Daily-Face-Wash-with-1-Nia-1.jpg"
The Derma Co Pore Minimizing Clay Daily Face Wash with 1% Niacinamide & 2% PHA for Open Pores - 100 ml,₹307.,https://www.amazon.in/Derma-Co-Minimizing-Daily-Niacinamide/dp/B09V15D8VL/ref=sr_1_59?dib=eyJ2IjoiMSJ9.o9_VfRe4gJVXuVkTdSvUAjXj4zbItz2c-QgVhfCt1A7tTsgPUC3AkodlguLDSHZ4oCmk-nMnhLycq1Jvhzp44bENMk59dXqHvdc__RSAEjxrE3JitWMff0hFoS-cZvEomqnOJpIkBkLljuU4RX2dvBsm5yGKYqwzevTBFnpyUGAK1h1POiOP27ku9SjdytBxMKII3-DIwg4gOQQON6IIp2AdyLDAxFJNBUkFaIIqJ9pxoF2FHcTodOSZvQ2m_vl0x8_2ghp4KA8aSIXzOWH_dokz2vZ22gYwk52tuxLRnVo.42qag9Vmiaf2A0POg-w3xbwlZcFQVQJDUaaa5jqulGg&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396275&sr=8-59&xpid=PqBEMo3xXL7fB,https://m.media-amazon.com/images/I/31b9cMLgEQL._SX300_SY300_QL70_ML2_.jpg,"The Derma Co Skin Renew with Peptides & Niacinamide | Anti-Pollution, Gentle & Deep Cleansing Face Wash  (100 ml)",₹359,https://www.flipkart.com/derma-co-skin-renew-peptides-niacinamide-anti-pollution-gentle-deep-cleansing-face-wash/p/itm452492fe13a9c?pid=FCWGZV8T9YK8JBHZ&lid=LSTFCWGZV8T9YK8JBHZXVLXWN&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGZV8T9YK8JBHZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/m/z/m/100-skin-renew-with-peptides-niacinamide-anti-pollution-gentle-original-imah43dzwurrkm9t.jpeg?q=70&crop=false,The Derma co. Pore Minimizing Clay Daily Face Wash With 1% Niacinamide & 2% PHA,Rs. 279,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-pore-minimizing-clay-daily-face-wash-with-1-niacinamide--2-pha-100ml/17428390/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17428390/2024/12/18/2994ac49-882a-49fa-98c5-53f349c381da1734523169508-The-Derma-co-Pore-Minimizing-Clay-Daily-Face-Wash-with-1-Nia-1.jpg"
"Cetaphil Oily Skin Cleanser, Daily Face Wash for Oily and Acne Prone Skin, Gentle Foaming, 125ml, Pack of 2","₹1,142.",https://www.amazon.in/Cetaphil-Cleanser-Oily-Skin-Pack/dp/B075H9Z66G/ref=sr_1_76?dib=eyJ2IjoiMSJ9.o9_VfRe4gJVXuVkTdSvUAjXj4zbItz2c-QgVhfCt1A7tTsgPUC3AkodlguLDSHZ4oCmk-nMnhLycq1Jvhzp44bENMk59dXqHvdc__RSAEjxrE3JitWMff0hFoS-cZvEomqnOJpIkBkLljuU4RX2dvBsm5yGKYqwzevTBFnpyUGAK1h1POiOP27ku9SjdytBxMKII3-DIwg4gOQQON6IIp2AdyLDAxFJNBUkFaIIqJ9pxoF2FHcTodOSZvQ2m_vl0x8_2ghp4KA8aSIXzOWH_dokz2vZ22gYwk52tuxLRnVo.42qag9Vmiaf2A0POg-w3xbwlZcFQVQJDUaaa5jqulGg&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396275&sr=8-76&xpid=PqBEMo3xXL7fB,https://m.media-amazon.com/images/I/41Th3PUQZhL._SY300_SX300_QL70_ML2_.jpg,"Cetaphil Gentle Cleanser, Mild Non-irritant formula - Pack of 2 Face Wash  (250 ml)","₹1,458",https://www.flipkart.com/cetaphil-gentle-cleanser-mild-non-irritant-formula-pack-2-face-wash/p/itmeqe4aeyxchxxp?pid=FCWEQE4AGMTKUGYZ&lid=LSTFCWEQE4AGMTKUGYZKD6A77&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_53&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWEQE4AGMTKUGYZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/kylvr0w0/shopsy-face-wash/i/x/0/cream-250-gentle-cleanser-mild-non-irritant-formula-pack-of-2-original-imagasuf8vgmn2zc.jpeg?q=70&crop=false,Cetaphil Gentle Skin Cleanser - 125 ml,Rs. 377,https://www.myntra.com/face-wash-and-cleanser/cetaphil/cetaphil-gentle-skin-hydrating-face-wash-cleanser-with-niacinamide--vitamin-b5---125-ml/16712624/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16712624/2023/8/8/3584bf5f-d3ee-4013-b961-824cbb335af61691475792332-Cetaphil-Gentle-Skin-Cleanser---125-ml-9391691475791959-1.jpg"
The Derma Co 2% Cica-Glow Daily Face Wash with Tranexamic Acid & Licorice Extract for Glowing Skin | Makes Skin Glow | Evens Skin Tone | For All Skin Types | 100ml,₹300.,https://www.amazon.in/Derma-Co-Cica-Glow-Tranexamic-Licorice/dp/B09WDYMLZZ/ref=sr_1_80?dib=eyJ2IjoiMSJ9.o9_VfRe4gJVXuVkTdSvUAjXj4zbItz2c-QgVhfCt1A7tTsgPUC3AkodlguLDSHZ4oCmk-nMnhLycq1Jvhzp44bENMk59dXqHvdc__RSAEjxrE3JitWMff0hFoS-cZvEomqnOJpIkBkLljuU4RX2dvBsm5yGKYqwzevTBFnpyUGAK1h1POiOP27ku9SjdytBxMKII3-DIwg4gOQQON6IIp2AdyLDAxFJNBUkFaIIqJ9pxoF2FHcTodOSZvQ2m_vl0x8_2ghp4KA8aSIXzOWH_dokz2vZ22gYwk52tuxLRnVo.42qag9Vmiaf2A0POg-w3xbwlZcFQVQJDUaaa5jqulGg&dib_tag=se&keywords=dermaco+facewash+OR+cetaphil+facewash+OR+minimalist+facewash+OR+dot+and+key+facewash&qid=1744396275&sr=8-80&xpid=PqBEMo3xXL7fB,https://m.media-amazon.com/images/I/31gzfAorPCL._SX300_SY300_QL70_ML2_.jpg,"Dot & Key CICA,for Acne Prone Skin, 2% Salicylic with Green Tea,For Oily & Sensitive Skin Face Wash  (100 ml)",₹214,https://www.flipkart.com/dot-key-cica-for-acne-prone-skin-2-salicylic-green-tea-for-oily-sensitive-skin-face-wash/p/itm5834032a76a98?pid=FCWGHZM2KHKF7YFC&lid=LSTFCWGHZM2KHKF7YFCUHP0IS&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=en_iM0KtzFbzxXInSZ1e64Q9hUtMVZm4cuqbgTVhV76Aj0N02idNUax-g6zdxoXerQkvPW0XBvzf_5ZC2gZohrRcfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/a/y/d/100-cica-for-acne-prone-skin-2-salicylic-with-green-tea-for-oily-original-imahanxhjmhrzsgv.jpeg?q=70&crop=false,The Derma co. Pore Minimizing Clay Daily Face Wash With 1% Niacinamide & 2% PHA,Rs. 279,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-pore-minimizing-clay-daily-face-wash-with-1-niacinamide--2-pha-100ml/17428390/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17428390/2024/12/18/2994ac49-882a-49fa-98c5-53f349c381da1734523169508-The-Derma-co-Pore-Minimizing-Clay-Daily-Face-Wash-with-1-Nia-1.jpg"
