Title,Price,Product URL,Image URL
The Derma Co Sali-Cinamide Anti-Acne with 2% Salicylic Acid & 2% Niacinamide Face Wash  (80 ml),₹199,https://www.flipkart.com/derma-co-sali-cinamide-anti-acne-2-salicylic-acid-niacinamide-face-wash/p/itm7b10785e0b8d3?pid=FCWGPF8QKHCMMKDY&lid=LSTFCWGPF8QKHCMMKDYFELTFL&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_F1M9MV_J6TpT1RRFJyLUORKaEZbwfsBX1ApzZ3cl1BTv8XUP0VaDpQyHAaZT1OK6gx3Zt5zevVHi-XKmGrQkcPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gk5ln77dog0000001744463034220&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/g/9/p/80-sali-cinamide-anti-acne-face-wash-with-2-salicylic-acid-2-original-imah3agetz9djcxz.jpeg?q=70&crop=false
The Derma Co 2% Niacinamide Cleanser Combo | Gentle Skin Cleanser and Oily Skin Cleanser Face Wash  (250 ml),₹448,https://www.flipkart.com/derma-co-2-niacinamide-cleanser-combo-gentle-skin-oily-face-wash/p/itm82fd7655de267?pid=CNRGTZ33SQJDGCHQ&lid=LSTCNRGTZ33SQJDGCHQYYIQDH&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_54&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.CNRGTZ33SQJDGCHQ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/g/0/r/250-2-niacinamide-cleanser-combo-gentle-skin-cleanser-and-oily-original-imah4yguv8sfby6y.jpeg?q=70&crop=false
"Cetaphil Gentle Cleanser, Mild Non-irritant formula - Pack of 2 Face Wash  (250 ml)","₹1,458",https://www.flipkart.com/cetaphil-gentle-cleanser-mild-non-irritant-formula-pack-2-face-wash/p/itmeqe4aeyxchxxp?pid=FCWEQE4AGMTKUGYZ&lid=LSTFCWEQE4AGMTKUGYZKD6A77&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_53&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWEQE4AGMTKUGYZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/kylvr0w0/shopsy-face-wash/i/x/0/cream-250-gentle-cleanser-mild-non-irritant-formula-pack-of-2-original-imagasuf8vgmn2zc.jpeg?q=70&crop=false
Cetaphil BHR Cleanser Face Wash  (100 g),₹756,https://www.flipkart.com/cetaphil-bhr-cleanser-face-wash/p/itm7e1baef9461dc?pid=FCWGT7GCF3WYBNH2&lid=LSTFCWGT7GCF3WYBNH2JYFFG3&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_52&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGT7GCF3WYBNH2.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/l/p/7/-original-imagu7me98yhzvdf.jpeg?q=70&crop=false
Cetaphil Cream Cleanser Face Wash  (236 ml),₹913,https://www.flipkart.com/cetaphil-cream-cleanser-face-wash/p/itm4308e10b8b5a3?pid=FCWGSMXFXDUU6VBE&lid=LSTFCWGSMXFXDUU6VBEAGDC0N&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_51&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGSMXFXDUU6VBE.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/p/e/b/-original-imagu7meuvyu6qgp.jpeg?q=70&crop=false
Cetaphil Daily Exfoliating Cleanser Face Wash  (178 ml),₹827,https://www.flipkart.com/cetaphil-daily-exfoliating-cleanser-face-wash/p/itm4fa8c6546e1a7?pid=CNRFHRTQNGPRJKGZ&lid=LSTCNRFHRTQNGPRJKGZ7MFRIX&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_50&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.CNRFHRTQNGPRJKGZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/cleanser/1/x/3/-original-imagq43jbjxnzmty.jpeg?q=70&crop=false
"The Derma Co Skin Renew with Peptides & Niacinamide | Anti-Pollution, Gentle & Deep Cleansing Face Wash  (100 ml)",₹359,https://www.flipkart.com/derma-co-skin-renew-peptides-niacinamide-anti-pollution-gentle-deep-cleansing-face-wash/p/itm452492fe13a9c?pid=FCWGZV8T9YK8JBHZ&lid=LSTFCWGZV8T9YK8JBHZXVLXWN&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGZV8T9YK8JBHZ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/m/z/m/100-skin-renew-with-peptides-niacinamide-anti-pollution-gentle-original-imah43dzwurrkm9t.jpeg?q=70&crop=false
Cetaphil PRO Oil Control Foam Wash-236ml Face Wash  (236 ml),₹934,https://www.flipkart.com/cetaphil-pro-oil-control-foam-wash-236ml-face-wash/p/itm4bc0ce355836b?pid=FCWGBYZXYGDGGFFQ&lid=LSTFCWGBYZXYGDGGFFQIBPBFT&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.FCWGBYZXYGDGGFFQ.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/b/z/k/-original-imah5mq6mxkxnfrr.jpeg?q=70&crop=false
"Dot & Key CICA,for Acne Prone Skin, 2% Salicylic with Green Tea,For Oily & Sensitive Skin Face Wash  (100 ml)",₹214,https://www.flipkart.com/dot-key-cica-for-acne-prone-skin-2-salicylic-green-tea-for-oily-sensitive-skin-face-wash/p/itm5834032a76a98?pid=FCWGHZM2KHKF7YFC&lid=LSTFCWGHZM2KHKF7YFCUHP0IS&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=en_iM0KtzFbzxXInSZ1e64Q9hUtMVZm4cuqbgTVhV76Aj0N02idNUax-g6zdxoXerQkvPW0XBvzf_5ZC2gZohrRcfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/a/y/d/100-cica-for-acne-prone-skin-2-salicylic-with-green-tea-for-oily-original-imahanxhjmhrzsgv.jpeg?q=70&crop=false
Dot & Key Strawberry Dew Melt in a Flash Cleansing Balm | Gentle Makeup Remover | Face Wash  (70 ml),₹428,https://www.flipkart.com/dot-key-strawberry-dew-melt-flash-cleansing-balm-gentle-makeup-remover-face-wash/p/itm2e37de3eab6c4?pid=CNRGSP99K7GG6AZ3&lid=LSTCNRGSP99K7GG6AZ3KOJUAX&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.CNRGSP99K7GG6AZ3.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/a/f/6/-original-imahycxyhkne3pmy.jpeg?q=70&crop=false
"The Derma Co 2% Niacinamide Gentle Skin Cleanser-Sensitive,Oily & Combination Skin| Pack of 2 Face Wash  (500 ml)",₹448,https://www.flipkart.com/derma-co-2-niacinamide-gentle-skin-cleanser-sensitive-oily-combination-skin-pack-2-face-wash/p/itm4724b24579c9c?pid=CNRGTYS9KHD6CH3V&lid=LSTCNRGTYS9KHD6CH3VZRH1GL&marketplace=FLIPKART&q=facewashes&store=g9b%2Fema%2F5la%2Fjav&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=1c905666-3cbc-44bf-833b-f776d1a3f7bc.CNRGTYS9KHD6CH3V.SEARCH&ppt=None&ppn=None&ssid=4sv3asdxn40000001744464600619&qH=5e6bdd98311c8327,https://rukminim2.flixcart.com/image/416/416/xif0q/face-wash/g/u/f/500-2-niacinamide-gentle-skin-cleanser-sensitive-oily-original-imah4rwakwbtcyss.jpeg?q=70&crop=false
