Title,Price,Product URL,Image URL
Cetaphil Bright Healthy Creamy Cleanser,Rs. 616,https://www.myntra.com/face-wash-and-cleanser/cetaphil/cetaphil-bright-healthy-radiance-creamy-cleanser-face-wash-with-niacinamide---100-g/20628106/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20628106/2023/10/4/a2102143-25ad-4d70-90ac-5bf2709dd79a1696414159395-Cetaphil-Bright-Healthy-Radiance-Brightness-Reveal-Creamy-Cl-1.jpg"
Cetaphil Sun SPF50+ Light Gel - 50 ml,Rs. 981,https://www.myntra.com/face-sunscreen/cetaphil/cetaphil-sun-spf-50-lightweight-water-resistant-sunscreen-gel-with-vitamin-e---50-ml/20628108/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20628108/2022/11/22/200c3d27-142e-4f12-9bbd-fc621d80b11b1669097176376-Cetaphil-Unisex-Sunscreen-7131669097175081-1.jpg"
Cetaphil Moisturising Cream - 80 g,Rs. 547,https://www.myntra.com/day-cream/cetaphil/cetaphil-moisturising-cream-for-face--body-with-niacinamide--vitamin-b5---80-g/16711334/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16711334/2023/9/8/d01c6d80-de1e-467b-beb1-aed2e72f74be1694168984030-Cetaphil-Moisturising-Cream---80-g-6041694168983607-1.jpg"
Cetaphil Daily Advance Hydrating Lotion,Rs. 512,https://www.myntra.com/day-cream/cetaphil/cetaphil-dam-ultra-hydrating-lotion-long-lasting-moisturizer-for-face--body---100-g/4608892/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/4608892/2023/8/9/d49d0a1f-d9d7-407b-a1b0-e3655d9dc0861691571944020-Cetaphil-DAM-Daily-Advance-Ultra-Hydrating-Lotion-for-Dry-Se-1.jpg"
Cetaphil Sun SPF30 Light Gel - 100 ml,Rs. 1116,https://www.myntra.com/face-sunscreen/cetaphil/cetaphil-sun-spf-30-sunscreen-gel-with-chemical-free-sun-protection-formula---100-ml/20628110/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20628110/2023/9/29/45ba4f00-3a10-4b4c-be1b-3b076c4295851695986598012CetaphilSunSPF30LightGelwithVitaminE-100ml1.jpg"
Cetaphil Moisturising Lotion - 100 ml,Rs. 477,https://www.myntra.com/day-cream/cetaphil/cetaphil-non-greasy-moisturizing-lotion-with-niacinamide--panthenol---100-ml/16711458/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16711458/2023/8/9/0a29cac0-8e0a-46d3-8b7d-627fd340aa4e1691581942236-Cetaphil-Moisturising-Lotion-for-Sensitive-Skin---100-ml-381-1.jpg"
Cetaphil Baby Mild Soap Bar - 100 g,Rs. 195,https://www.myntra.com/baby-body-wash-and-soap/cetaphil/cetaphil-baby-mild-bar-kids-soap-with-shea-butter-for-face--body---100-g/30866532/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/11/0jkUjUNT_950608ee3bc94e679a7397eb04dd18c3.jpg"
Cetaphil Bright Healthy Radiance Cream,Rs. 1043,https://www.myntra.com/body-cream-and-lotion/cetaphil/cetaphil-bright-healthy-radiance-day-cream-for-uneven-skin-tone-with-niacinamide---50-g/17106950/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17106950/2024/7/16/ed0ae517-ee21-477c-809d-c44dabc7c75e1721125540081-Cetaphil-Bright-Healthy-Radiance-Brightening-SPF-15-Non-Grea-1.jpg"
Cetaphil Baby Face & Body Mild Bar 75 g,Rs. 190,https://www.myntra.com/baby-body-wash-and-soap/cetaphil/cetaphil-baby-mild-bar-kids-soap-with-shea-butter-for-face--body---75-g/17105600/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17105600/2022/5/19/f6881c82-672e-47c8-bc9d-8be29fe0fca71652947077066SunscreenCetaphilUnisexSunscreenCetaphilUnisexFaceMoisturise1.jpg"
Cetaphil Gentle Skin Cleanser - 125 ml,Rs. 377,https://www.myntra.com/face-wash-and-cleanser/cetaphil/cetaphil-gentle-skin-hydrating-face-wash-cleanser-with-niacinamide--vitamin-b5---125-ml/16712624/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16712624/2023/8/8/3584bf5f-d3ee-4013-b961-824cbb335af61691475792332-Cetaphil-Gentle-Skin-Cleanser---125-ml-9391691475791959-1.jpg"
Cetaphil Brightening Night Cream - 50 g,Rs. 1055,https://www.myntra.com/body-cream-and-lotion/cetaphil/cetaphil-bright-healthy-radiance-night-cream-for-uneven-skin-tone-with-niacinamide---50-g/17106948/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17106948/2024/7/16/928b2a43-7b74-4f5a-8796-939a9273db861721125530712-Cetaphil-Bright-Healthy-Radiance-Brightening-Night-Comfort-C-1.jpg"
The Derma co. Sali-Cinamide Face Wash 80 ml,Rs. 199,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-sali-cinamide-anti-acne-face-wash-with-salicylic-acid--niacinamide---80-ml/22968320/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22968320/2025/1/4/2c3309a6-7ecb-456e-a2c3-2bc80a93b20f1735965349403-The-Derma-co-Sali-Cinamide-Anti-Acne-Face-Wash-with-Salicyli-1.jpg"
The Derma co. 2% Salicylic Acid Face Wash,Rs. 239,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-2-salicylic-acid-gel-face-wash-for-active-acne---100-ml-for-oily-skin/31408989/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/25/UVt96a8s_9fa100bee5ba4fe1bddc45ae6b354952.jpg"
The Derma co. Anti-Pigmentation Combo-130ml,Rs. 399,https://www.myntra.com/skin-care-combo/the+derma+co./the-derma-co-anti-pigmentation-combo-with-kojic-acid---face-wash-100-ml--serum-30-ml/29237734/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29237734/2024/5/14/56faff41-4cae-4fe7-bd14-0bfbd8d197011715669225664AntipigmentationCombo1.jpg"
The Derma co. Anti-Acne Regimen Combo,Rs. 598,https://www.myntra.com/skin-care-combo/the+derma+co./the-derma-co-anti-acne-regimen-combo/27298262/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27298262/2024/2/1/c6d74574-32ec-4485-966c-ad1103cc749b1706772774522TheDermacoAnti-AcneRegimenCombo1.jpg"
Ponds Vitamin C+E+A Face Wash- 100g,Rs. 135,https://www.myntra.com/face-wash-and-cleanser/ponds/ponds-bright-beauty-vitamin-cea-infused-gel-face-wash-for-brighter--clearer-skin---100g/27592948/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27592948/2024/2/15/f76fc1b5-2cfc-4ff2-baa2-3de2070dfe621707980278539BEARDODe-TanFacescrubforMen50gBlackheadTanRemovalCoffeeDetox1.jpg"
The Derma co. 1% Kojic Acid Face Wash- 100ml,Rs. 239,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-1kojic-acid-face-wash---reduces-dark-spots-pigmentation--blemishes-100-ml/22968318/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22968318/2024/4/23/e5a91e19-07f0-49c4-9170-d14d032b30e71713870348809-The-Derma-co-1-Kojic-Acid-Face-Wash-with-Niacinamide--Alpha--11.jpg"
The Derma co. 1% Salicylic Acidgel Facewash,Rs. 239,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-1-salicylic-acidgel-face-wash-with-witch-hazel-for-active-acne---100-ml/15537106/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15537106/2025/1/4/b645f68b-c115-4a0c-9683-4c51bf585b321735965317895-The-Derma-co-1-Salicylic-Acid-Gel-Face-Wash-with-Witch-Hazel-1.jpg"
Mamaearth Rice Face Wash 100ml,Rs. 207,https://www.myntra.com/face-wash-and-cleanser/mamaearth/mamaearth-rice-face-wash-with-rice-water--niacinamide-for-glass-skin---100ml/18277408/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18277408/2024/9/24/90d7e512-adf5-4e85-96f7-735b15b8e4af1727158533186-Mamaearth-Rice-Face-Wash-with-Rice-Water--Niacinamide-for-Gl-1.jpg"
The Derma co. Sali-Cinamide Face Wash,Rs. 359,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-sali-cinamide-anti-acne-face-wash---150ml/30024588/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30024588/2024/12/18/86fdd39c-7c44-4388-8572-57252f5071031734523183438-The-Derma-co-Sali-Cinamide-Anti-Acne-Face-Wash---150ml-95817-1.jpg"
The Derma co. Creamy Cleanser,Rs. 199,https://www.myntra.com/face-wash-and-cleanser/the+derma+co./the-derma-co-creamy-cleanser/15537112/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15537112/2025/1/4/321fad17-962c-44ad-8dd9-212d3d3627501735965456510-The-Derma-co-Creamy-Cleanser-6041735965456340-1.jpg"
Ponds Hydra Light Gel Face Wash,Rs. 134,https://www.myntra.com/face-wash-and-cleanser/ponds/ponds-hydra-light-hyaluronic-acid-hydrating-gel-face-wash---100g/24822096/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24822096/2023/9/28/db902acd-fbd4-4173-a0d8-6c7c561863d11695883297769FaceWashandCleanserPondsWomen1.jpg"
