Title,Price,Product URL,Image URL
Boult Crown 1.95'' Screen Smartwatch,Rs. 1199Rs. 4499(Rs. 3300 OFF),https://www.myntra.com/smart-watches/boult/boult-crown-195-hd--bt-calling-working-crown-900-nits-spo2-smartwatch/24015230/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24015230/2025/2/5/1986720c-7ea3-42d1-a67a-38305a3e00281738753700739-Boult-Crown-195-HD--BT-Calling-Working-Crown-900-Nits-SpO2-S-1.jpg"
Boult Drift+ Chrome Smart Watches,Rs. 1399Rs. 8499(Rs. 7100 OFF),https://www.myntra.com/smart-watches/boult/boult-drift-chrome-185-hd-display-health-tracker-smart-watch-with-inbuilt-speaker--mic/32624314/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32624314/2025/2/10/eff4df0f-3dc9-4a7e-8f8c-f5efb60313001739170748027-Drift-185-HD-Display-Working-Crown-150-Watchfaces-Health-Tra-1.jpg"
"Boult Rover Pro 1.43"" Smart Watch",Rs. 1899Rs. 10999(Rs. 9100 OFF),https://www.myntra.com/smart-watches/boult/boult-rover-pro-143-amoled-display-1000nits-brightness-smart-watch/32605509/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32605509/2025/3/7/f9965ce7-9a96-4a34-a6a9-dbff644ac1ba1741325365265-Boult-Rover-Pro-143-AMOLED-Display-1000Nits-Brightness-Smart-1.jpg"
Boult Crown R Pro Health Tracker,Rs. 2199Rs. 6999(Rs. 4800 OFF),https://www.myntra.com/smart-watches/boult/boult-crown-r-pro-amoled-with-150-faces-health-tracker/32605603/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32605603/2025/2/5/fde207c7-125e-40b2-9a97-53664000cf001738753910983-Boult-Unisex-Smart-Watches-5651738753910555-1.jpg"
Boult Dire Smart Watch,Rs. 1499Rs. 4999(Rs. 3500 OFF),https://www.myntra.com/smart-watches/boult/boult-dire-curved-display-health-tracker-smart-watch/32531370/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32531370/2025/3/25/c0ad37b6-d548-4812-ae13-ba9ccb3bdcdf1742879635628-Dire-138-25D-Curved-Display-Working-Crown-250-Watchfaces-Hea-1.jpg"
Boult Crown R Pro Health Tracker,Rs. 2199Rs. 6999(Rs. 4800 OFF),https://www.myntra.com/smart-watches/boult/boult-crown-r-pro-amoled-with-150-faces-health-tracker/32605601/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32605601/2025/2/5/9625c18a-0d1d-4b0a-9ae6-5d1304e0412f1738753874594-Boult-Unisex-Smart-Watches-5521738753874172-1.jpg"
"Boult Trail Pro 2.01"" 3D Smart Watch",Rs. 1999Rs. 6999(Rs. 5000 OFF),https://www.myntra.com/smart-watches/boult/boult-trail-pro-201-3d-curved-display-working-crown-600-nits-ip68-smart-watch/32605465/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32605465/2025/2/5/c4315622-c389-4e65-96aa-a0f5072f42ca1738754028267-Boult-Unisex-Smart-Watches-6331738754027803-1.jpg"
Boult Dire Smart Watch,Rs. 1499Rs. 4999(Rs. 3500 OFF),https://www.myntra.com/smart-watches/boult/boult-dire-curved-display-health-tracker-smart-watch/32531372/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32531372/2025/3/25/c5320df3-65b2-4795-9926-834ac386604b1742879655954-Dire-138-25D-Curved-Display-Working-Crown-250-Watchfaces-Hea-1.jpg"
Boult Dire Smart Watch,Rs. 1399Rs. 4999(Rs. 3600 OFF),https://www.myntra.com/smart-watches/boult/boult-dire-curved-display-health-tracker-smart-watch/32531373/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32531373/2025/3/25/b3834d0f-1d3f-4635-9ed4-c0428ec93acd1742879669305-Dire-138-25D-Curved-Display-Working-Crown-250-Watchfaces-Hea-1.jpg"
Boult Crown R Pro Smart Watch,Rs. 1999Rs. 6999(Rs. 5000 OFF),https://www.myntra.com/smart-watches/boult/boult-crown-r-pro-143-hd-amoled-display-working-crown-health-tracker-smart-watch/32605604/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32605604/2025/2/5/73ac0baa-28b5-4013-b1c5-87c906737d8f1738753935889-Boult-Unisex-Smart-Watches-2241738753935465-1.jpg"
