Title,Price,Product URL,Image URL
Aqualogica Set Of Skin Care Combo,Rs. 549,https://www.myntra.com/skin-care-combo/aqualogica/aqualogica-set-of-hydrating-vanilla-mist--illuminate-sunscreen-150ml--80g/32642266/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32642266/2025/2/20/ec2f63a4-03bf-4561-a879-97f3e8febabb1740042961119-Aqualogica-Set-Of-Hydrating-Vanilla-Mist--Illuminate-Sunscre-18.jpg"
Aqualogica Illuminate+ Dewy Sunscreen,Rs. 359,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-illuminate-dewy-sunscreen-spf-50-pa---50g/26925508/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26925508/2025/3/20/dc66da78-6d31-487b-a9b9-55ebc596b7861742470602581-Aqualogica-Illuminate-Dewy-Sunscreen-SPF-50-PA---50g-1181742-1.jpg"
Aqualogica Glow+ Dewy Sunscreen - 50 g,Rs. 359,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-glow-dewy-spf-50-pa-sunscreen-with-uvab--blue-light-protection---50-g/17940030/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17940030/2025/2/25/2d945bd1-3dcc-43e1-8164-6a9785d8ba981740493827010-Aqualogica-Glow-Dewy-SPF-50-PA-Sunscreen-With-UVAB--Blue-Lig-1.jpg"
Aqualogica Detan+ Dewy Sunscreen 50g,Rs. 359,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-detan-dewy-lightweight-no-white-cast-sunscreen-with-spf-50--pa---50g/22216276/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22216276/2025/3/20/4518bed8-590e-4e2e-aab5-19b63ad552c91742470565754-Aqualogica-Detan-Dewy-Lightweight-No-White-Cast-Sunscreen-wi-1.jpg"
Aqualogica Radiance+ Dewy Sunscreen,Rs. 239,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-spf-50-pa-30g-oily-skin-no-white-cast-lightweight-radiance-dewy-sunscreen/30024389/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30024389/2025/3/20/4bd14323-39eb-478d-a533-1e0b64c203d61742470626641-Aqualogica-SPF-50-PA-30g-Oily-Skin-No-White-Cast-Lightweight-1.jpg"
Aqualogica Radiance+ Dewy Sunscreen 50g,Rs. 359,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-lightweight-spf-50-pa-radiance--dewy-sunscreen-for-oily-skin-50g/18762632/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18762632/2025/2/25/f009f360-8654-4614-8ccc-f52ba145625b1740493833775-Aqualogica-Radiance-SPF50-PA-Dewy-Sunscreen-with-Watermelon--1.jpg"
Aqualogica Illuminate+ & Dewy Sunscreen,Rs. 239,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-wild-berries--alpha-arbutin-illuminate-dewy-sunscreen-spf50-pa-30g/30580757/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30580757/2025/3/20/79ab6397-06ed-4793-bf5a-f0dc3d8d88271742470654121-Aqualogica-Wild-Berries--Alpha-Arbutin-Illuminate-Dewy-Sunsc-1.jpg"
Aqualogica Glow+ Dewy Sunscreen - 80 g,Rs. 449,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-glow-dewy-lightweight--hydrating-sunscreen-with-spf50--pa---80-g/22304072/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22304072/2025/3/20/d27315ac-d3b8-4d41-9a9b-a036a1b9abc41742470574021-Aqualogica-Glow-Dewy-Lightweight--Hydrating-Sunscreen-with-S-1.jpg"
Aqualogica Bright+ Tone Up Sunscreen,Rs. 399,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-bright-tone-up-sunscreen-with-spf-50---50g/32771460/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/13/tY4YeU7K_3d06c05028a6471f9a76088c84a68ca2.jpg"
Aqualogica 5 Barrier+Repair Sunscreen-50g,Rs. 359,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-5-barrier-repair-avocado--5-essential-ceramides-moisturizing-sunscreen--50g/30580756/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/13/dBZQhUoV_facd1279fcaa43188d84480313f3366b.jpg"
Aqualogica Set of 2 Glow+ Dewy Sunscreen,Rs. 673,https://www.myntra.com/face-sunscreen/aqualogica/aqualogica-set-of-2-glow-spf50-dewy-sunscreen-with-vitamin-c--papaya---50-g-each/26975106/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26975106/2024/1/16/31ff04fc-e5df-4df6-b500-7d57fd99ea211705409673033AqualogicaGlowSetOf2DewySunscreenForSunProtection-50gEach1.jpg"
DOT & KEY Watermelon Sunscreen SPF50,Rs. 387,https://www.myntra.com/face-sunscreen/dot+%26+key/dot--key-watermelon-cooling-sunscreen-spf-50-pa-with-hyaluronic-acid-50g/21404558/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21404558/2025/3/31/0722aa56-d674-4034-9f82-1aa8a9cb8d131743400701211-Dot--Key-Watermelon-Cooling-Sunscreen-SPF-50-PA-With-Hyaluro-1.jpg"
DOT & KEY Skin Care Watermelon Sunscreen,Rs. 499,https://www.myntra.com/face-sunscreen/dot+%26+key/dot--key-watermelon-cooling-sunscreen-spf-50-pa-with-hyaluronic-acid-80g/26812646/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26812646/2025/3/31/f18c0ad2-1fe8-4e5d-af49-8936f8a2c2121743400765006-Dot--Key-Watermelon-Cooling-Sunscreen-SPF-50-PA-With-Hyaluro-1.jpg"
DOT & KEY Watermelon Cooling Sunscreen,Rs. 284,https://www.myntra.com/face-sunscreen/dot+%26+key/dot--key-watermelon-cooling-sunscreen-with-spf-50-pa---30g/32285741/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32285741/2025/1/10/2aada844-f9c5-4a4c-94d1-c39564292f401736505211226DOTKEYWatermelonHyaluronicCoolingSunscreenWithSPF50PA-30g1.jpg"
Lakme Mini Sunstick SPF 50 - 8 g,Rs. 299,https://www.myntra.com/face-sunscreen/lakme/lakme-mini-sunstick-non-oily-spf-50-pa-sunscreen---8-g/33171675/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/13/TuNKkt5R_7b4cd47019a24eda9d465706c3bdea97.jpg"
